0.20,5.0,75.00,0.20,5.0,75.00
0.20,5.0,76.00,0.20,5.0,76.00
0.20,5.0,77.00,0.20,5.0,77.00
0.20,5.0,78.00,0.20,5.0,78.00
0.20,5.0,79.00,0.20,5.0,79.00
0.20,5.0,80.00,0.20,5.0,80.00
0.20,5.0,81.00,0.20,5.0,81.00
0.20,5.0,82.00,0.20,5.0,82.00
0.20,5.0,83.00,0.20,5.0,83.00
0.20,5.0,84.00,0.20,5.0,84.00
0.20,5.0,85.00,0.20,5.0,85.00
0.20,5.0,86.00,0.20,5.0,86.00
0.20,5.0,87.00,0.20,5.0,87.00
0.20,5.0,88.00,0.20,5.0,88.00
0.20,5.0,89.00,0.20,5.0,89.00
0.20,5.0,90.00,0.20,5.0,90.00
0.20,5.0,91.00,0.20,5.0,91.00
0.20,5.0,92.00,0.20,5.0,92.00
0.20,5.0,93.00,0.20,5.0,93.00
0.20,5.0,94.00,0.20,5.0,94.00
0.20,5.0,95.00,0.20,5.0,95.00
0.20,5.0,96.00,0.20,5.0,96.00
0.20,5.0,97.00,0.20,5.0,97.00
0.20,5.0,98.00,0.20,5.0,98.00
0.20,5.0,99.00,0.20,5.0,99.00
0.20,5.0,100.00,0.20,5.0,100.00
0.20,5.0,101.00,0.20,5.0,101.00
0.20,5.0,102.00,0.20,5.0,102.00
0.20,5.0,103.00,0.20,5.0,103.00
0.20,5.0,104.00,0.20,5.0,104.00
0.20,5.0,105.00,0.20,5.0,105.00
0.20,5.0,106.00,0.20,5.0,106.00
0.20,5.0,107.00,0.20,5.0,107.00
0.20,5.0,108.00,0.20,5.0,108.00
0.20,5.0,109.00,0.20,5.0,109.00
0.20,5.0,110.00,0.20,5.0,110.00
0.20,5.0,111.00,0.20,5.0,111.00
0.20,5.0,112.00,0.20,5.0,112.00
0.20,5.0,113.00,0.20,5.0,113.00
0.20,5.0,114.00,0.20,5.0,114.00
0.20,5.0,115.00,0.20,5.0,115.00
0.20,5.0,116.00,0.20,5.0,116.00
0.20,5.0,117.00,0.20,5.0,117.00
0.20,5.0,118.00,0.20,5.0,118.00
0.20,5.0,119.00,0.20,5.0,119.00
0.20,5.0,120.00,0.20,5.0,120.00
0.20,5.0,121.00,0.20,5.0,121.00
0.20,5.0,122.00,0.20,5.0,122.00
0.20,5.0,123.00,0.20,5.0,123.00
0.20,5.0,124.00,0.20,5.0,124.00
0.20,5.0,125.00,0.20,5.0,125.00
0.20,10.0,75.00,0.20,10.0,75.00
0.20,10.0,76.00,0.20,10.0,76.00
0.20,10.0,77.00,0.20,10.0,77.00
0.20,10.0,78.00,0.20,10.0,78.00
0.20,10.0,79.00,0.20,10.0,79.00
0.20,10.0,80.00,0.20,10.0,80.00
0.20,10.0,81.00,0.20,10.0,81.00
0.20,10.0,82.00,0.20,10.0,82.00
0.20,10.0,83.00,0.20,10.0,83.00
0.20,10.0,84.00,0.20,10.0,84.00
0.20,10.0,85.00,0.20,10.0,85.00
0.20,10.0,86.00,0.20,10.0,86.00
0.20,10.0,87.00,0.20,10.0,87.00
0.20,10.0,88.00,0.20,10.0,88.00
0.20,10.0,89.00,0.20,10.0,89.00
0.20,10.0,90.00,0.20,10.0,90.00
0.20,10.0,91.00,0.20,10.0,91.00
0.20,10.0,92.00,0.20,10.0,92.00
0.20,10.0,93.00,0.20,10.0,93.00
0.20,10.0,94.00,0.20,10.0,94.00
0.20,10.0,95.00,0.20,10.0,95.00
0.20,10.0,96.00,0.20,10.0,96.00
0.20,10.0,97.00,0.20,10.0,97.00
0.20,10.0,98.00,0.20,10.0,98.00
0.20,10.0,99.00,0.20,10.0,99.00
0.20,10.0,100.00,0.20,10.0,100.00
0.20,10.0,101.00,0.20,10.0,101.00
0.20,10.0,102.00,0.20,10.0,102.00
0.20,10.0,103.00,0.20,10.0,103.00
0.20,10.0,104.00,0.20,10.0,104.00
0.20,10.0,105.00,0.20,10.0,105.00
0.20,10.0,106.00,0.20,10.0,106.00
0.20,10.0,107.00,0.20,10.0,107.00
0.20,10.0,108.00,0.20,10.0,108.00
0.20,10.0,109.00,0.20,10.0,109.00
0.20,10.0,110.00,0.20,10.0,110.00
0.20,10.0,111.00,0.20,10.0,111.00
0.20,10.0,112.00,0.20,10.0,112.00
0.20,10.0,113.00,0.20,10.0,113.00
0.20,10.0,114.00,0.20,10.0,114.00
0.20,10.0,115.00,0.20,10.0,115.00
0.20,10.0,116.00,0.20,10.0,116.00
0.20,10.0,117.00,0.20,10.0,117.00
0.20,10.0,118.00,0.20,10.0,118.00
0.20,10.0,119.00,0.20,10.0,119.00
0.20,10.0,120.00,0.20,10.0,120.00
0.20,10.0,121.00,0.20,10.0,121.00
0.20,10.0,122.00,0.20,10.0,122.00
0.20,10.0,123.00,0.20,10.0,123.00
0.20,10.0,124.00,0.20,10.0,124.00
0.20,10.0,125.00,0.20,10.0,125.00
0.20,15.0,75.00,0.20,15.0,75.00
0.20,15.0,76.00,0.20,15.0,76.00
