0.20,5.0,75.5,24.5
0.20,5.0,76.5,23.5
0.20,5.0,77.5,22.5
0.20,5.0,78.5,21.5
0.20,5.0,79.5,20.5
0.20,5.0,80.5,19.5
0.20,5.0,81.5,18.5
0.20,5.0,82.5,17.5
0.20,5.0,83.5,16.5
0.20,5.0,84.5,15.5
0.20,5.0,85.5,14.5
0.20,5.0,86.5,13.5
0.20,5.0,87.5,12.5
0.20,5.0,88.5,11.5
0.20,5.0,89.5,10.5
0.20,10.0,75.5,24.5
0.20,10.0,76.5,23.5
0.20,10.0,77.5,22.5
0.20,10.0,78.5,21.5
0.20,10.0,79.5,20.5
0.20,10.0,80.5,19.5
0.20,10.0,81.5,18.5
0.20,10.0,82.5,17.5
0.20,10.0,83.5,16.5
0.20,10.0,84.5,15.5
0.20,15.0,75.5,24.5
0.20,15.0,76.5,23.5
0.20,15.0,77.5,22.5
0.20,15.0,78.5,21.5
0.20,15.0,79.5,20.5
0.20,15.0,80.5,19.5
0.20,15.0,81.5,18.5
0.20,15.0,82.5,17.5
0.40,5.0,76.5,23.5
0.40,5.0,77.5,22.5
0.40,5.0,78.5,21.5
0.40,5.0,79.5,20.5
